id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,acidente_fatal,total_vitimas
691465,2025-05-04,domingo,14:45:00,RJ,116,13,SAPUCAIA,Ausência de reação do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Ponte;Curva,Não,4,0,0,1,2,1,1,4,"-21,90753382","-42,69072533",SPRF-RJ,DEL05-RJ,UOP01-DEL05-RJ,0,1
691468,2025-05-15,quinta-feira,18:10:00,MG,356,"282,3",EUGENOPOLIS,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Curva;Aclive,Não,7,0,7,0,0,0,7,2,"-21,124273","-42,2306",SPRF-MG,DEL07-MG,UOP02-DEL07-MG,0,7
691470,2025-05-15,quinta-feira,16:03:00,DF,80,9,BRASILIA,Ultrapassagem Indevida,Colisão lateral sentido oposto,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,"-15,73125612","-48,15724406",SPRF-DF,DEL03-DF,UOP02-DEL03-DF,0,0
691471,2025-05-15,quinta-feira,18:20:00,PR,369,138,IBIPORA,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,3,0,0,1,1,1,1,2,"-23,27409325","-51,05712458",SPRF-PR,DEL07-PR,UOP01-DEL07-PR,0,1
691472,2025-05-15,quinta-feira,17:40:00,PI,343,"335,3",TERESINA,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,2,0,1,1,0,0,2,1,"-5,06309452","-42,69934058",SPRF-PI,DEL01-PI,UOP01-DEL01-PI,0,2
691473,2025-05-15,quinta-feira,18:30:00,RS,116,236,NOVO HAMBURGO,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Sem Vítimas,Anoitecer,Decrescente,Céu Claro,Múltipla,Reta,Não,3,0,0,0,2,1,0,3,"-29,67107429","-51,14279732",SPRF-RS,DEL01-RS,UOP02-DEL01-RS,0,0
691474,2025-05-15,quinta-feira,18:09:00,PE,232,"39,9",VITORIA DE SANTO ANTAO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Retorno Regulamentado;Reta,Não,2,0,0,1,1,0,1,2,"-8,114089","-35,240494",SPRF-PE,DEL01-PE,UOP01-DEL01-PE,0,1
691476,2025-05-15,quinta-feira,18:45:00,SC,470,"67,4",INDAIAL,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Múltipla,Viaduto,Sim,3,0,1,0,2,0,1,2,"-26,88038738","-49,24228126",SPRF-SC,DEL04-SC,UOP01-DEL04-SC,0,1
691478,2025-05-15,quinta-feira,15:30:00,AL,316,118,CACIMBINHAS,Objeto estático sobre o leito carroçável,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-9,39978262","-36,95645213",SPRF-AL,DEL03-AL,UOP01-DEL03-AL,0,1
691479,2025-05-15,quinta-feira,18:35:00,PR,277,74,SAO JOSE DOS PINHAIS,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,Não,2,0,2,0,0,0,2,1,"-25,494442","-49,166415",SPRF-PR,DEL01-PR,UOP07-DEL01-PR,0,2
691481,2025-05-15,quinta-feira,19:10:00,SP,381,39,ATIBAIA,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,1,0,1,0,0,0,1,1,"-23,11862129","-46,57350424",SPRF-SP,DEL03-SP,UOP01-DEL03-SP,0,1
691484,2025-05-15,quinta-feira,18:20:00,SP,116,221,GUARULHOS,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Múltipla,Em Obras;Reta,Sim,1,0,0,1,0,0,1,1,"-23,47023377","-46,51536226",SPRF-SP,DEL01-SP,UOP01-DEL01-SP,0,1
691485,2025-05-15,quinta-feira,19:40:00,SP,116,215,GUARULHOS,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Múltipla,Reta;Declive,Não,2,0,1,0,1,0,1,1,"-23,44823146","-46,45701382",SPRF-SP,DEL01-SP,UOP01-DEL01-SP,0,1
691486,2025-05-15,quinta-feira,17:20:00,RO,364,"427,3",JARU,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Simples,Reta;Interseção de Vias,Não,2,0,1,0,1,0,1,2,"-10,426688","-62,488755",SPRF-RO,DEL03-RO,UOP02-DEL03-RO,0,1
691490,2025-05-15,quinta-feira,19:30:00,SP,116,223,GUARULHOS,Conversão proibida,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Ignorado,Múltipla,Interseção de Vias,Sim,1,0,1,0,0,0,1,1,"-23,47534651","-46,52468157",SPRF-SP,DEL01-SP,UOP01-DEL01-SP,0,1
691492,2025-05-15,quinta-feira,18:59:00,PR,277,351,GUARAPUAVA,Acesso irregular,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,"-25,3987984","-51,5371026",SPRF-PR,DEL08-PR,UOP01-DEL08-PR,0,0
691493,2025-05-15,quinta-feira,18:15:00,CE,222,294,TIANGUA,Ausência de reação do condutor,Engavetamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,3,0,0,0,3,0,0,3,"-3,665669","-40,906625",SPRF-CE,DEL04-CE,UOP02-DEL04-CE,0,0
691494,2025-05-15,quinta-feira,19:10:00,BA,116,817,VITORIA DA CONQUISTA,Demais falhas na via,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Simples,Reta,Não,2,0,2,0,0,0,2,1,"-14,82485","-40,8209",SPRF-BA,DEL08-BA,UOP01-DEL08-BA,0,2
691495,2025-05-15,quinta-feira,19:45:00,PB,101,"75,1",SANTA RITA,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Curva,Não,1,0,0,1,0,0,1,1,"-7,084563","-34,970388",SPRF-PB,DEL01-PB,UOP03-DEL01-PB,0,1
691497,2025-05-15,quinta-feira,20:20:00,RJ,116,181,SAO JOAO DE MERITI,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,1,0,2,0,1,2,"-22,79100423","-43,38332802",SPRF-RJ,DEL06-RJ,UOP01-DEL06-RJ,0,1
691499,2025-05-15,quinta-feira,19:20:00,RJ,393,177,TRES RIOS,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,2,0,1,0,1,0,1,2,"-22,133707","-43,247682",SPRF-RJ,DEL05-RJ,UOP03-DEL05-RJ,0,1
691501,2025-05-15,quinta-feira,20:20:00,ES,101,265,SERRA,Deficiência do Sistema de Iluminação/Sinalização,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,3,0,2,0,0,1,2,2,"-20,18178891","-40,26542191",SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,2
691503,2025-05-15,quinta-feira,17:30:00,SC,101,"153,2",PORTO BELO,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,0,1,1,2,"-27,14637233","-48,61054569",SPRF-SC,DEL04-SC,UOP03-DEL04-SC,0,1
691504,2025-05-15,quinta-feira,20:20:00,PE,116,"25,9",SALGUEIRO,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,2,"-8,069617","-39,134087",SPRF-PE,DEL05-PE,UOP01-DEL05-PE,0,1
691505,2025-05-15,quinta-feira,20:00:00,SC,101,"309,6",LAGUNA,Ausência de reação do condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Não,1,0,0,0,1,0,0,1,"-28,4377","-48,8098",SPRF-SC,DEL02-SC,UOP01-DEL02-SC,0,0
691506,2025-04-18,sexta-feira,17:40:00,SP,116,288,ITAPECERICA DA SERRA,Avarias e/ou desgaste excessivo no pneu,Colisão frontal,Sem Vítimas,Anoitecer,Crescente,Chuva,Simples,Curva,Não,2,0,0,0,1,1,0,2,"-23,70632506","-46,87507575",SPRF-SP,DEL04-SP,UOP01-DEL04-SP,0,0
691509,2025-05-15,quinta-feira,19:55:00,MA,222,"673,9",ACAILANDIA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta;Declive,Sim,2,0,0,1,1,0,1,2,"-4,953883","-47,488113",SPRF-MA,DEL04-MA,UOP03-DEL04-MA,0,1
691510,2025-05-15,quinta-feira,18:30:00,AC,364,106,RIO BRANCO,Pista esburacada,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-10,04137339","-67,62205124",SPRF-AC,DEL01-AC,UOP01-DEL01-AC,0,1
